# 备份成交的订单，过后查看.

2020-07-09 16:03:28,274 - root - INFO - 买单成交时间: 2020-07-09 16:03:28.274178, 价格: 17.035, 数量: 20
2020-07-09 16:24:47,824 - root - INFO - 买单成交时间: 2020-07-09 16:24:47.824646, 价格: 16.984, 数量: 20
2020-07-09 16:39:36,886 - root - INFO - 买单成交时间: 2020-07-09 16:39:36.886919, 价格: 16.933, 数量: 20
2020-07-09 16:47:52,171 - root - INFO - 卖单成交时间: 2020-07-09 16:47:52.171854, 价格: 16.984, 数量: 20
2020-07-09 17:12:45,984 - root - INFO - 买单成交时间: 2020-07-09 17:12:45.984466, 价格: 16.933, 数量: 20
2020-07-09 17:31:38,666 - root - INFO - 卖单成交时间: 2020-07-09 17:31:38.666277, 价格: 16.984, 数量: 20
2020-07-09 17:33:53,262 - root - INFO - 卖单成交时间: 2020-07-09 17:33:53.262741, 价格: 17.035, 数量: 20
2020-07-09 17:38:15,975 - root - INFO - 买单成交时间: 2020-07-09 17:38:15.975744, 价格: 16.984, 数量: 20
2020-07-09 17:42:50,027 - root - INFO - 买单成交时间: 2020-07-09 17:42:50.027066, 价格: 16.984, 数量: 20
2020-07-09 17:49:02,891 - root - INFO - 卖单成交时间: 2020-07-09 17:49:02.891799, 价格: 17.035, 数量: 20
2020-07-09 18:08:11,940 - root - INFO - 买单成交时间: 2020-07-09 18:08:11.940179, 价格: 16.984, 数量: 20
2020-07-09 18:12:19,678 - root - INFO - 买单成交时间: 2020-07-09 18:12:19.678857, 价格: 16.933, 数量: 20
2020-07-09 18:16:38,803 - root - INFO - 卖单成交时间: 2020-07-09 18:16:38.803656, 价格: 16.984, 数量: 20
2020-07-09 18:33:19,917 - root - INFO - 买单成交时间: 2020-07-09 18:33:19.917109, 价格: 16.933, 数量: 20
2020-07-09 19:10:09,973 - root - INFO - 卖单成交时间: 2020-07-09 19:10:09.973681, 价格: 16.984, 数量: 20
2020-07-09 19:29:48,008 - root - INFO - 卖单成交时间: 2020-07-09 19:29:48.008215, 价格: 17.035, 数量: 20
2020-07-09 19:32:38,077 - root - INFO - 卖单成交时间: 2020-07-09 19:32:38.077648, 价格: 17.086, 数量: 20
2020-07-09 19:32:43,078 - root - INFO - 卖单成交时间: 2020-07-09 19:32:43.078170, 价格: 17.086, 数量: 20
2020-07-09 19:41:44,254 - root - INFO - 卖单成交时间: 2020-07-09 19:41:44.254202, 价格: 17.137, 数量: 20
2020-07-09 19:44:17,624 - root - INFO - 卖单成交时间: 2020-07-09 19:44:17.624428, 价格: 17.137, 数量: 20
2020-07-09 19:56:45,620 - root - INFO - 买单成交时间: 2020-07-09 19:56:45.620144, 价格: 17.086, 数量: 20
2020-07-09 20:23:38,173 - root - INFO - 卖单成交时间: 2020-07-09 20:23:38.173601, 价格: 17.137, 数量: 20
2020-07-09 20:30:50,504 - root - INFO - 卖单成交时间: 2020-07-09 20:30:50.504714, 价格: 17.188, 数量: 20
2020-07-09 20:37:30,452 - root - INFO - 买单成交时间: 2020-07-09 20:37:30.452654, 价格: 17.136, 数量: 20
2020-07-09 20:39:56,408 - root - INFO - 买单成交时间: 2020-07-09 20:39:56.408445, 价格: 17.136, 数量: 20
2020-07-09 20:55:56,311 - root - INFO - 卖单成交时间: 2020-07-09 20:55:56.311636, 价格: 17.187, 数量: 20
2020-07-09 21:17:13,474 - root - INFO - 买单成交时间: 2020-07-09 21:17:13.474458, 价格: 17.135, 数量: 20
2020-07-09 21:25:39,254 - root - INFO - 买单成交时间: 2020-07-09 21:25:39.254212, 价格: 17.084, 数量: 20
2020-07-09 21:36:09,472 - root - INFO - 卖单成交时间: 2020-07-09 21:36:09.472641, 价格: 17.135, 数量: 20
2020-07-09 21:38:16,190 - root - INFO - 买单成交时间: 2020-07-09 21:38:16.190014, 价格: 17.084, 数量: 20
2020-07-09 21:49:11,174 - root - INFO - 买单成交时间: 2020-07-09 21:49:11.174752, 价格: 17.033, 数量: 20
2020-07-09 22:06:52,328 - root - INFO - 卖单成交时间: 2020-07-09 22:06:52.328442, 价格: 17.084, 数量: 20
2020-07-09 22:18:22,364 - root - INFO - 买单成交时间: 2020-07-09 22:18:22.364338, 价格: 17.033, 数量: 20
2020-07-09 22:22:58,947 - root - INFO - 买单成交时间: 2020-07-09 22:22:58.947813, 价格: 16.982, 数量: 20
2020-07-09 22:30:10,167 - root - INFO - 卖单成交时间: 2020-07-09 22:30:10.167162, 价格: 17.033, 数量: 20
2020-07-09 22:34:30,920 - root - INFO - 卖单成交时间: 2020-07-09 22:34:30.920629, 价格: 17.084, 数量: 20
2020-07-09 22:43:17,008 - root - INFO - 买单成交时间: 2020-07-09 22:43:17.008507, 价格: 17.033, 数量: 20
2020-07-09 22:49:45,926 - root - INFO - 买单成交时间: 2020-07-09 22:49:45.926401, 价格: 16.982, 数量: 20
2020-07-09 22:51:55,065 - root - INFO - 买单成交时间: 2020-07-09 22:51:55.065553, 价格: 16.931, 数量: 20
2020-07-09 22:56:30,106 - root - INFO - 买单成交时间: 2020-07-09 22:56:30.106032, 价格: 16.880, 数量: 20
2020-07-09 22:56:32,364 - root - INFO - 买单成交时间: 2020-07-09 22:56:32.364410, 价格: 16.829, 数量: 20
2020-07-09 22:56:34,526 - root - INFO - 买单成交时间: 2020-07-09 22:56:34.526111, 价格: 16.779, 数量: 20
2020-07-09 23:00:02,276 - root - INFO - 卖单成交时间: 2020-07-09 23:00:02.276484, 价格: 16.829, 数量: 20
2020-07-09 23:02:27,837 - root - INFO - 买单成交时间: 2020-07-09 23:02:27.837105, 价格: 16.729, 数量: 20
2020-07-09 23:05:16,733 - root - INFO - 卖单成交时间: 2020-07-09 23:05:16.732977, 价格: 16.829, 数量: 20
2020-07-09 23:07:22,034 - root - INFO - 买单成交时间: 2020-07-09 23:07:22.034816, 价格: 16.779, 数量: 20
2020-07-09 23:07:24,049 - root - INFO - 买单成交时间: 2020-07-09 23:07:24.049365, 价格: 16.569, 数量: 20
2020-07-09 23:07:26,732 - root - INFO - 买单成交时间: 2020-07-09 23:07:26.732030, 价格: 16.729, 数量: 20
2020-07-09 23:07:30,450 - root - INFO - 买单成交时间: 2020-07-09 23:07:30.450414, 价格: 16.679, 数量: 20
2020-07-09 23:07:51,869 - root - INFO - 买单成交时间: 2020-07-09 23:07:51.869850, 价格: 16.629, 数量: 20
2020-07-09 23:07:59,688 - root - INFO - 卖单成交时间: 2020-07-09 23:07:59.688355, 价格: 16.619, 数量: 20
2020-07-09 23:10:29,784 - root - INFO - 买单成交时间: 2020-07-09 23:10:29.784768, 价格: 16.679, 数量: 20
2020-07-09 23:10:48,214 - root - INFO - 卖单成交时间: 2020-07-09 23:10:48.214120, 价格: 16.619, 数量: 20
2020-07-09 23:13:16,402 - root - INFO - 卖单成交时间: 2020-07-09 23:13:16.402337, 价格: 16.669, 数量: 20
2020-07-09 23:15:30,130 - root - INFO - 卖单成交时间: 2020-07-09 23:15:30.130194, 价格: 16.719, 数量: 20
2020-07-09 23:20:11,948 - root - INFO - 买单成交时间: 2020-07-09 23:20:11.947634, 价格: 16.669, 数量: 20
2020-07-09 23:22:22,317 - root - INFO - 买单成交时间: 2020-07-09 23:22:22.317960, 价格: 16.619, 数量: 20
2020-07-09 23:22:25,190 - root - INFO - 买单成交时间: 2020-07-09 23:22:25.190795, 价格: 16.569, 数量: 20
